"item","Feature","vars","n","Importance","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","LB","UB"
"71","RelativePerf",1,8,30.4448877005684,5.5065037084804,29.8320250028356,30.4448877005684,7.25260300031795,23.4691325925005,38.6545063908527,15.1853737983522,0.121139381953948,-1.80083782586139,1.94684305644768,26.629075309931,34.2607000912059
"73","SIC_avg",1,8,30.3520093024118,28.7465812119541,31.0154971424679,30.3520093024118,40.713267702366,1.21471533108751,60.2150093106667,59.0002939795792,-0.000520936905044,-2.21430202542881,10.1634512554513,10.4316448417273,50.2723737630962
"18","Ethnicity",1,8,22.4816819156364,21.1822385529996,24.6064373104939,22.4816819156364,26.5364873041615,0,42.5729847965357,42.5729847965357,-0.024182467754717,-2.20556212183167,7.48905226076855,7.80313948453008,37.1602243467428
"4","AGI",1,8,21.0614418640996,17.8840615475904,22.6897245979477,21.0614418640996,25.4070852497872,1.0078417322937,40.5104935360216,39.5026518037279,-0.026959779701591,-2.14781483759165,6.32297059772937,8.66841949255008,33.4544642356492
"61","P_RFA",1,8,18.2340977266875,5.2164521865175,19.2264240444526,18.2340977266875,3.53597394770902,9.84942976229015,27.8853966009051,18.035966838615,0.224379407991729,-0.66398471383575,1.84429435741096,14.619280786162,21.8489146672129
"70","Probation",1,8,17.8190082040659,11.9771120283022,12.1923714838123,17.8190082040659,4.32477002752438,9.13642959223186,44.0980113831802,34.9615817909483,1.18801978891635,0.000777868915037,4.23454856712174,9.51929301250727,26.1187233956245
"17","EFC",1,8,14.7348428849366,11.6974711920206,15.1470116216536,14.7348428849366,15.288981559863,1.84941654847487,26.9366989898589,25.087282441384,-0.02330992584349,-2.18108699186673,4.13568060130601,6.62890890637685,22.8407768634964
"1","ActiveDuty",1,8,13.0567932964707,1.75467586842859,13.0092471512891,13.0567932964707,0.591264392868684,10.7591864230307,16.6663657343323,5.90717931130165,0.699072225114695,-0.286502765764597,0.620371602675124,11.8408649552275,14.272721637714
"23","LearningGrp",1,8,12.309413081359,2.81474110031863,13.0484422839979,12.309413081359,1.7212304740068,6.91670050821748,15.0192833095051,8.10258280128761,-0.870221527950956,-0.942292830868447,0.995161259659892,10.3588970124257,14.2599291502924
"20","FCD_FYQ",1,8,9.91298132717299,6.56115530586057,11.3314016105723,9.91298132717299,7.56887835449943,1.29424005979751,16.6360094526704,15.3417693928729,-0.138456889944943,-2.05216584186488,2.31971870459605,5.36633266616472,14.4596299881812
"68","PrevDegLvl",1,8,9.76519095537782,2.37999041130725,9.09154470450791,9.76519095537782,1.30093032987026,7.75407919837118,14.8955390764244,7.14145987805326,1.13533806103486,-0.136787775260623,0.84145367949716,8.11594174356338,11.4144401671923
"10","ClassLength_avg",1,8,9.31705847413735,8.0010371150759,10.1899286878253,9.31705847413735,10.068209053112,0.339571231551862,17.0660492325453,16.7264780009934,-0.04067347143007,-2.18168156751059,2.82879380029771,3.77262262555384,14.8614943227209
"24","MaritalStat",1,8,8.05829846239068,6.3628028020608,8.90167090598437,8.05829846239068,7.73265066984019,0.91935889910743,14.1613440043462,13.2419851052388,-0.052841679768968,-2.17052981297895,2.24959050434498,3.64910107387452,12.4674958509068
"21","Gender",1,8,7.96488570101893,4.61513429155612,8.8669646035604,7.96488570101893,6.30154580183078,2.1610787255655,13.2097667040782,11.0486879785127,-0.122952137377612,-1.94470821037385,1.63169637682295,4.76676080244594,11.1630105995919
"37","OnlineOnly",1,8,7.61030759204273,3.93295757153545,7.65816828868494,7.61030759204273,5.48787627993844,3.00239282228678,12.5081954236469,9.50580260136014,0.070375278173782,-1.96803918603802,1.39051048447585,4.88490704247007,10.3357081416154
"74","TeachingGrp",1,8,6.93812962849572,5.5207364577816,8.50555512112843,6.93812962849572,5.36051677649289,0,12.2844864985703,12.2844864985703,-0.201231040440134,-2.01204149949929,1.95187509322059,3.11245444578337,10.7638048112081
"45","P_BV3",1,8,6.50659155943728,2.15453738846459,6.84631126286031,6.50659155943728,2.69584705467145,3.40013921482297,9.01087122220371,5.61073200738075,-0.217616809670111,-1.72141256541957,0.761743998851635,5.01357332168807,7.99960979718648
"65","ParentHiEd",1,8,6.49421084305723,6.4658637174055,6.76369085904729,6.49421084305723,8.9387274281556,0,13.1066446406099,13.1066446406099,-0.005187199235283,-2.2168205736755,2.28602804040274,2.01359588386785,10.9748258022466
"66","PrevAtt2Yr",1,8,4.89921262948278,3.52728553525154,5.71540232550735,4.89921262948278,4.10900582993477,0.46108569492284,8.63070331437304,8.1696176194502,-0.164984754406214,-2.01022785317998,1.24708376057879,2.45492845874834,7.34349680021721
"76","Units",1,8,4.73808459984979,3.91678444238127,5.08065828908026,4.73808459984979,4.95245932535922,0,8.46563204538638,8.46563204538638,-0.046680594355269,-2.17056363065422,1.38479241982689,2.02389145698909,7.45227774271048
"19","FAFSAby",1,8,4.40283640469371,3.40772953195478,4.83558544697239,4.40283640469371,4.17037980533725,0,7.82293354110956,7.82293354110956,-0.10136320621204,-2.08947500301732,1.20481433024744,2.04140031740873,6.7642724919787
