"item","Feature","vars","n","Importance","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","LB","UB"
"2","AdjunctOnly",1,36,5.64615552399048,4.89903556126894,4.61026390584813,5.11768966552158,5.93179677820319,0,20.0542455198818,20.0542455198818,1.08585686163222,1.32181702578203,0.816505926878157,4.0458039073093,7.24650714067167
"34","N_IntlStu",1,36,5.6274896025686,6.46170394053011,5.85113277899593,4.67006662545649,4.50015880085508,0,34.8319029443038,34.8319029443038,2.61580904689731,9.16443037369,1.07695065675502,3.51666631532877,7.73831288980844
"6","ChildrenY",1,36,5.34442817662923,6.44037282558536,4.45714285714285,3.94616468005557,2.85549765442841,0,29.652133847781,29.652133847781,2.3933765140631,5.58944698052007,1.07339547093089,3.24057305360468,7.44828329965378
"58","P_NOS",1,36,4.9030457218888,4.95548263466682,3.93457975040955,4.06168259773603,2.41448220453465,0,18.7853270285192,18.7853270285192,1.52769769018253,1.68604219028672,0.825913772444471,3.28425472789764,6.52183671587996
"49","P_ECS",1,36,3.88271052791984,6.82479164338154,2.17142857142864,2.21848105064192,0.960708278671219,0,34.0325139682627,34.0325139682627,3.04158454274818,9.18933603106255,1.13746527389692,1.65327859108187,6.11214246475781
"56","P_HIC",1,27,3.75226778932298,4.83972239984156,3.4641025223263,2.73736024559822,2.43785009499563,0,20.5075444417763,20.5075444417763,2.31795539443033,5.08075519593305,0.931405010117196,1.92671396949328,5.57782160915269
"30","N_CRD",1,18,3.73414239382032,7.5630643947466,0.342857142857102,2.40720103088343,0.453686347588971,0,28.6993465946309,28.6993465946309,2.12915390444727,3.87863571736549,1.78263137335862,0.240184902037429,7.22809988560321
"35","N_REC",1,27,3.63895811260852,3.3529456878878,2.3207500966261,3.25496512176499,2.4213993607516,0,13.2112313575048,13.2112313575048,1.22534617852526,0.761646306774824,0.645274698493405,2.37421970356145,4.9036965216556
"15","DependentsY",1,27,3.25880671311334,3.88385763890936,2.28571428571431,2.69494014024174,1.82593306126853,0,13.1803890833748,13.1803890833748,1.58471882192125,1.40472721864782,0.747448751106168,1.79380716094525,4.72380626528143
"47","P_BVO",1,27,3.22789071269645,5.94273829645049,1.02857142857139,2.0396910521725,0.539874718606158,0,20.1500221035735,20.1500221035735,2.02336972406429,2.61322364404587,1.14368051839306,0.986276896646046,5.46950452874686
